City_ID,city,lat,lng,max_temp,humidity,cloudiness,speed,country,date
354,bella union,-57.6007,-30.2752,93.06,13,5,11.68,UY,1672682417
355,koupela,-0.3517,12.1794,76.78,14,5,8.32,BF,1672682417
356,sicuani,-71.2261,-14.2694,58.91,55,95,5.08,PE,1672682418
357,ambato,-78.6168,-1.2491,61.02,75,100,2.62,EC,1672682419
358,mbanza-ngungu,14.8667,-5.25,68.83,94,51,1.92,CD,1672682419
359,basco,121.9702,20.4487,75.6,76,99,27.18,PH,1672682420
360,lasa,10.7002,46.6166,42.03,92,99,2.1,IT,1672682421
361,ostrovnoy,39.5131,68.0531,22.3,83,100,16.49,RU,1672682422
362,sao felix do xingu,-51.995,-6.6447,81.3,83,28,2.06,BR,1672682422
363,tres picos,-93.5333,15.8667,87.73,50,77,6.33,MX,1672682423
364,colares,-9.4469,38.7992,59.45,69,20,21.0,PT,1672682424
365,golden,-105.2211,39.7555,31.48,93,97,5.99,US,1672682424
366,itoman,127.6694,26.1247,62.62,77,20,10.36,JP,1672682425
367,havelock,-76.9013,34.8791,68.95,79,0,3.0,US,1672682410
368,bestobe,73.0975,52.4994,18.88,88,30,13.94,KZ,1672682426
369,zeya,127.2667,53.75,-10.86,92,3,5.5,RU,1672682427
370,lovozero,35.0117,68.005,7.21,99,98,6.55,RU,1672682349
371,manitowoc,-87.8001,44.0667,33.37,86,100,1.01,US,1672682429
372,isangel,169.2667,-19.55,79.21,82,98,9.13,VU,1672682429
373,houston,-95.3633,29.7633,77.09,87,100,20.71,US,1672682136
374,baruun-urt,113.2792,46.6806,-13.04,92,10,5.82,MN,1672682431
375,doha,51.5333,25.2867,66.18,72,0,16.11,QA,1672682399
376,konya,32.5,38.1667,32.14,51,0,1.32,TR,1672682432
377,leningradskiy,178.4167,69.3833,-28.95,99,89,9.22,RU,1672682432
378,matay,30.7792,28.419,59.09,62,0,2.64,EG,1672682433
379,chumphon,98.8333,10.3333,64.87,97,85,2.19,TH,1672682434
380,nome,-165.4064,64.5011,6.26,89,100,6.69,US,1672682435
381,osoyoos,-119.4524,49.0331,32.77,92,100,3.04,CA,1672682436
382,norman wells,-126.8329,65.282,1.51,92,100,6.33,CA,1672682437
383,green valley,-110.9937,31.8543,48.43,72,89,3.0,US,1672682438
384,kosa,54.9977,59.9445,21.92,94,98,9.01,RU,1672682438
385,plonsk,20.3755,52.6235,53.64,79,100,12.77,PL,1672682439
386,mehamn,27.8492,71.0357,30.15,74,75,10.36,NO,1672682439
387,wakkanai,141.6739,45.4094,15.35,74,100,25.28,JP,1672682441
388,srednekolymsk,153.6833,67.45,-30.62,98,100,6.82,RU,1672682441
389,ecoporanga,-40.8306,-18.3733,78.66,75,99,8.48,BR,1672682442
390,hella,14.4333,67.2,32.14,72,100,13.8,NO,1672682443
391,birjand,59.2211,32.8663,36.39,41,23,3.67,IR,1672682443
392,sakskobing,11.626,54.7997,45.1,92,88,15.57,DK,1672682444
393,aklavik,-135.0107,68.2191,3.29,96,100,9.95,CA,1672682445
394,boda,17.4695,4.3189,83.01,28,11,3.74,CF,1672682445
395,lixourion,20.4314,38.2019,56.88,78,1,5.23,GR,1672682446
396,westport,-73.3579,41.1415,54.09,72,100,7.0,US,1672682158
397,korla,86.1469,41.7597,17.85,62,63,1.25,CN,1672682447
398,kangaatsiaq,-53.4641,68.3065,-5.87,99,100,12.12,GL,1672682448
399,cobija,-68.7692,-11.0267,90.34,43,98,7.43,BO,1672682448
400,kuryk,51.65,43.2,49.42,74,82,17.34,KZ,1672682449
401,tambacounda,-13.7586,13.7539,91.13,10,86,5.75,SN,1672682450
402,marawi,124.2928,7.9986,67.68,98,100,2.01,PH,1672682450
403,kuito,16.9333,-12.3833,58.57,94,100,8.46,AO,1672682451
404,evensk,159.2333,61.95,-7.74,70,0,12.59,RU,1672682451
405,watertown,-71.1828,42.3709,50.74,61,100,8.01,US,1672682452
406,lata,-8.3327,40.1629,48.92,86,20,2.17,PT,1672682452
407,vieques,-65.8329,18.425,84.72,70,10,11.21,PR,1672682453
408,komsomolskiy,71.7189,40.4272,30.92,86,100,2.3,UZ,1672682453
409,mityana,32.0228,0.4175,64.18,79,22,0.54,UG,1672682454
410,sinnamary,-52.95,5.3833,79.61,80,88,8.5,GF,1672682454
411,pisco,-76.2167,-13.7,77.05,61,0,18.41,PE,1672682170
412,zheleznodorozhnyy,38.0042,55.7503,28.92,87,72,9.57,RU,1672682455
413,boyolangu,111.8935,-8.1181,75.29,87,100,3.31,ID,1672682456
414,alekseyevka,38.6903,50.6309,39.99,88,96,6.89,RU,1672682456
415,capinota,-66.2333,-17.7167,67.66,78,99,7.78,BO,1672682457
416,rio gallegos,-69.2181,-51.6226,60.85,25,40,46.04,AR,1672682181
417,portland,-122.6762,45.5234,42.46,77,100,13.0,US,1672682347
418,kaeo,173.7833,-35.1,67.32,85,100,16.96,NZ,1672682458
419,gamba,10.0,-2.65,78.17,80,82,5.5,GA,1672682458
420,pabrade,25.7833,55.0,45.25,87,100,10.98,LT,1672682459
421,kenai,-151.2583,60.5544,34.14,85,100,9.24,US,1672682459
422,geraldton,114.6,-28.7667,73.81,68,96,16.11,AU,1672682320
423,badarpur,92.6,24.9,57.38,70,0,3.71,IN,1672682461
424,kobryn,24.3564,52.2138,46.85,84,97,12.75,BY,1672682461
425,rehli,79.0833,23.6333,52.86,54,3,4.92,IN,1672682462
426,margate,1.3862,51.3813,41.9,88,16,1.01,GB,1672682171
427,birecik,37.9903,37.0294,43.81,39,0,4.09,TR,1672682463
428,san policarpo,125.5072,12.1791,78.1,91,100,15.61,PH,1672682464
429,lovington,-103.3485,32.944,54.03,51,48,11.99,US,1672682464
430,shizunai,142.3669,42.3339,22.42,73,98,24.38,JP,1672682465
431,daru,143.2092,-9.0763,78.15,84,100,4.76,PG,1672682465
432,carupano,-63.2585,10.6678,79.09,78,13,11.72,VE,1672682466
433,illapel,-71.1653,-31.6308,79.38,40,0,8.95,CL,1672682466
434,oranjestad,-70.027,12.524,78.96,80,1,17.58,AW,1672682467
435,muhos,25.9931,64.808,15.58,96,90,3.83,FI,1672682467
436,linxia,103.2064,35.6003,22.64,52,34,0.63,CN,1672682469
437,ucluelet,-125.5528,48.9329,45.09,83,100,1.99,CA,1672682469
438,mahebourg,57.7,-20.4081,78.26,70,84,7.25,MU,1672682404
439,lazarev,141.5131,52.225,-1.61,62,100,22.59,RU,1672682470
440,agudos,-48.9875,-22.4692,89.85,52,40,6.91,BR,1672682394
441,auki,160.7034,-8.7676,77.68,87,100,6.64,SB,1672682471
442,faya,42.4509,18.3851,59.22,65,76,2.57,SA,1672682472
443,baykit,96.37,61.67,1.33,99,100,1.45,RU,1672682433
444,zemio,25.1361,5.0314,83.46,34,47,7.83,CF,1672682472
445,abeche,20.8324,13.8292,74.95,24,21,10.83,TD,1672682473
446,tabuk,121.4443,17.4189,72.09,97,100,1.25,PH,1672682473
447,iqaluit,-68.5145,63.7506,-5.31,76,100,0.0,CA,1672682294
448,rundu,19.7667,-17.9333,70.43,64,100,6.71,NA,1672682474
449,talakan,130.3667,50.3167,-24.99,100,69,1.63,RU,1672682475
450,kutum,24.6667,14.2,64.78,32,3,10.69,SD,1672682475
451,sungaipenuh,101.3833,-2.0833,64.49,96,100,0.85,ID,1672682476
452,bobo dioulasso,-4.2979,11.1771,79.45,10,69,6.44,BF,1672682477
453,montmagny,2.3469,48.9734,49.01,81,0,6.91,FR,1672682477
454,carnarvon,113.6333,-24.8667,74.28,80,60,17.18,AU,1672682478
455,port blair,92.75,11.6667,77.43,67,46,10.69,IN,1672682479
456,kabin buri,101.7177,13.9511,68.25,69,100,5.59,TH,1672682479
457,billings,-108.5007,45.7833,32.5,77,19,1.01,US,1672682400
458,aksarayskiy,48.0119,46.7924,47.34,79,100,20.0,RU,1672682480
459,dire dawa,41.8661,9.5931,68.18,68,31,1.92,ET,1672682481
460,yerbogachen,108.0108,61.2767,-2.49,95,100,7.9,RU,1672682482
461,kulhudhuffushi,73.07,6.6221,80.11,67,77,13.06,MV,1672682482
462,shitanjing,106.3439,39.2342,18.73,41,0,2.73,CN,1672682483
463,port moresby,147.1797,-9.4431,77.74,78,100,3.65,PG,1672682484
464,half moon bay,-122.4286,37.4636,50.76,74,40,17.27,US,1672682446
465,micco,-80.5003,27.8806,83.07,76,0,1.01,US,1672682485
466,yeppoon,150.7333,-23.1333,69.58,73,2,4.61,AU,1672682485
467,baraya,-75.0531,3.1533,81.66,67,56,3.87,CO,1672682486
468,puerto rondon,-71.1,6.2805,88.03,48,91,8.12,CO,1672682487
469,pimenteiras,-41.4192,-6.2453,90.28,40,100,6.51,BR,1672682488
470,kawalu,108.2082,-7.3817,72.07,96,93,1.5,ID,1672682488
471,havoysund,24.6622,70.9963,34.03,83,93,7.96,NO,1672682489
472,makakilo city,-158.0858,21.3469,73.62,84,22,4.14,US,1672682489
473,charlottesville,-78.4767,38.0293,68.95,58,22,4.0,US,1672682403
474,teguldet,88.1667,57.3064,12.22,94,100,6.58,RU,1672682490
475,tagusao,117.8141,9.1924,79.81,84,100,13.71,PH,1672682491
476,atar,-13.0499,20.5169,80.82,15,0,11.74,MR,1672682491
477,tual,132.75,-5.6667,83.37,75,99,14.47,ID,1672682492
478,kaseda,130.3167,31.4167,49.37,66,10,15.97,JP,1672682492
479,kuusamo,29.1833,65.9667,3.24,85,0,1.14,FI,1672682493
480,bayir,28.2167,37.2687,43.32,57,0,2.37,TR,1672682493
481,port hardy,-127.4199,50.6996,40.39,83,100,8.05,CA,1672682446
